id,name,city,state,google_place_id,review_count,review_mine_status,touchless_mentions
0ac89fd2-0e7d-4792-bb3b-22e77d95ffd6,"Sheetz",Winston-Salem,NC,ChIJBRQ5RUyzU4gR0SqncKJoU7M,805,touchless_found,0
ef3e07cb-fc50-460f-a7c8-0410c6569e83,"Fast Eddie's Car Wash and Oil Change",Clio,MI,ChIJxeuWKb6PI4gRqWM00Yk-8mM,767,touchless_found,0
35f2cdb4-caaa-48ec-ae2e-6a7f34397b91,"Splash Car Wash and Lube",Brandon,FL,ChIJW2in4gbSwogRFIAmEIYicFs,750,touchless_found,0
51880902-c8ab-47b5-b21c-62b7781f80ce,"Sierra Express Car Wash",Reno,NV,ChIJP0qNicE_mYARGE7gYM6hUV4,743,touchless_found,0
208896dd-f173-4e79-9693-b3d22eaf362e,"Pelican Pointe Car Wash - New Orleans",New Orleans,LA,ChIJX63NFrqlIIYRNPViJsd4V6Q,741,touchless_found,0
9e7f8f24-c15f-42f9-be88-6237610a7aaf,"A to Z EXPRESS CAR WASH",Coram,NY,ChIJ_zr9yaBG6IkRf1DhPVPN7JA,730,touchless_found,0
b2a95df9-6ffc-430f-8887-b513be707e69,"New Castle Auto Spa, Inc.",New Castle,DE,ChIJZSCVnvADx4kRgNoo2pyrvHc,730,touchless_found,0
2475acaf-f8ea-470e-9ea2-08c128fbf6c4,"Kwik Trip",EAGAN,MN,ChIJkV6PxR0t9ocRJyy7EJ3G01w,715,scanned_clean,0
094208b3-9af4-498d-9db4-4f914e0cdf59,"Sparkling Image Car Wash",Nashua,NH,ChIJi33yunC644kR_a2J3R4u9wM,706,touchless_found,0
5fe52311-759a-4522-bd62-b899d988e88d,"Terrible's Car Wash",Barstow,CA,ChIJD5wlqaN8xIARp6rUkOnMXQE,698,touchless_found,0
778ec6c2-3d44-488a-b953-e141860361a7,"Green Clean Auto Spa",Jacksonville,NC,ChIJgVfEwBARqYkRhrlFoOeHBVU,683,touchless_found,0
8a355f01-7e3b-401b-8381-20d55449038d,"Watershed Carwash",Universal City,TX,ChIJJYYn-6eTXIYR3qTRJUqtgUs,674,touchless_found,0
6e4e261e-f5e4-4e00-b9c3-29f9ea973b85,"Kwik Trip",ONALASKA,WI,ChIJATmiHZes_ocRs6kdCfax5oA,661,scanned_clean,0
1a7073a7-e07d-4b65-925b-65acd369daf2,"All Washed Up Auto Spa",Uniontown,PA,ChIJ9YTaCEoTNYgR6s2cVBg43NU,644,touchless_found,0
6c961dfb-e100-4fa1-8f31-9a1f02febb5e,"Sparkle Express Carwash",South Jordan,UT,ChIJtQAnYWWGUocR9OS4N8-EC_M,635,touchless_found,0
48658d65-6375-4f4e-8831-11194b14460a,"Washville Car Wash",West Islip,NY,ChIJ6zoN8Fct6IkRTnqXS_OllHI,621,touchless_found,0
2c1c120c-b09a-48ee-b1f1-62c7d18464e7,"Rod's N Dog's Car Wash",Missoula,MT,ChIJ1cNRernPXVMRnFyzCo9kjhY,616,touchless_found,0
c5f3a28a-0a7d-415a-9f10-1f88459b5e28,"WhiteWater Express Car Wash",Charleston,SC,ChIJCa0Vwox9_ogR5RX30Aan17M,604,touchless_found,0
813d08d1-136c-4733-be63-5aafd461f693,"Sheetz",Chambersburg,PA,ChIJXb5t3vSeyYkR8jvOmVHcKUU,603,scanned_clean,0
9bf7fedc-ed17-409f-9574-0af03648559a,"Squeeky's Car Wash Palm Springs",Palm Springs,FL,ChIJdeiIORTZ2IgR5o76Q8AIUBY,589,scanned_clean,0
0b04b5f5-f599-448c-b57e-dba6d5d7c5c2,"Kwik Trip",De Pere,WI,ChIJ3wRRtV_jAogRCw0ALxqiaKg,555,scanned_clean,0
f3e4b526-5870-426e-9d9f-d8b5d3b0f15a,"Valet Auto Wash Burlington",Burlington,NJ,ChIJBzAWqRRNwYkRxHBLS29kU7I,550,touchless_found,0
20a7d6cb-0eee-429f-800c-904e6e45f961,"Delta Sonic Car Wash",Glenwood,IL,ChIJ7XT-Vb4YDogRzrrSZtKY4_I,549,touchless_found,0
