name,city,state,chain,trophies,hero,amenities,hours,desc,address,phone,directions,snippets,tss,paintSafe,fails
Ellwood Auto Wash,Ellwood City,PA,,"Butler, PA #2",ok,true,true,true,true,true,true,7,86,false,"READY"
Ollie Wash Newburgh,Newburgh,IN,,"Evansville, IN #2",ok,true,true,true,true,true,true,5,86,false,"READY"
Cascade Car Wash Touchless Automatic - Englewood,Englewood,OH,Cascade Car Wash,"Dayton, OH #1",ok,true,true,true,true,true,true,35,94,true,"READY"
Ridgeville Laserwash,North Ridgeville,OH,,"Cleveland, OH #2",ok,true,true,true,true,true,true,23,95,true,"READY"
Wildwood Auto Wash,Jackson,MI,,"Jackson, MI #1",ok,true,true,true,true,true,true,29,85,false,"READY"
Enviro Auto Wash,Endwell,NY,,"Binghamton, NY #2",ok,true,true,true,true,true,true,8,88,false,"READY"
Westdale Car Wash,Cedar Rapids,IA,,"Cedar Rapids, IA #2",ok,false,false,true,true,true,true,3,42,false,"amenities,hours,TSS:42"
Clean-N-Go Car Wash,Franklin,IN,,"Indianapolis, IN #2",ok,true,true,true,true,true,true,22,82,false,"READY"
Soapyshell Carwash - Dundalk,Baltimore,MD,,"Baltimore, MD #3",ok,true,true,true,true,true,true,20,79,false,"READY"
Touch Free Car Wash,Hillside,IL,,"Chicago, IL #3",ok,true,true,true,true,true,true,20,91,true,"READY"
Mr Suds Carwash,Cayce,SC,,"Columbia, SC #2",ok,true,true,true,true,true,true,8,68,false,"READY"
Don's Car Wash,Billings,MT,,"Billings, MT #2",ok,true,true,true,true,true,true,13,78,false,"READY"
Hudson Car Wash LLC,Hudson,NH,,"Fitchburg, MA #3",ok,true,true,true,true,true,true,12,75,false,"READY"
Red Hawk Wash,Milton,WI,,"Janesville, WI #3",ok,true,true,true,true,true,true,5,80,false,"READY"
Spruce Street Car Wash,Elizabethtown,PA,,"Harrisburg, PA #1; Lancaster, PA #2; York, PA #2",ok,true,true,true,true,true,true,8,89,false,"READY"
Tyler Car Wash,St. Charles,IL,,"Elgin, IL #2",ok,true,true,true,true,true,true,44,81,true,"READY"
Big Splash Car Wash,Whiteland,IN,Splash Car Wash,"Indianapolis, IN #1",ok,true,true,true,true,true,true,18,91,false,"READY"
Cat's Car Wash,Norcross,GA,,"Atlanta, GA #2",ok,false,true,true,true,true,true,10,87,true,"amenities"
Outback Auto Wash,Ashtabula,OH,,"Chardon, OH #1",ok,true,true,true,true,true,true,11,81,false,"READY"
Touch-free Car Wash,Westland,MI,,"Ann Arbor, MI #3",ok,true,true,true,true,true,true,30,64,true,"READY"
Rain Tunnel Car Wash,Chambersburg,PA,,"Chambersburg, PA #1",ok,true,true,true,true,true,true,16,73,true,"READY"
Upstate LaserWash,Clifton Park,NY,,"Albany, NY #2; Saratoga Springs, NY #2",ok,true,false,true,true,false,true,9,87,false,"hours"
Magic Mist Auto Wash,Grand Island,NY,,"Buffalo, NY #3",ok,true,true,true,true,true,true,8,86,false,"READY"
Splash n' Dash Car Wash,Bend,OR,,"Bend, OR #1",ok,true,true,true,true,true,true,9,90,false,"READY"
Cascade Car Wash,Springboro,OH,Cascade Car Wash,"Dayton, OH #2",ok,true,true,true,true,false,true,29,92,true,"READY"
Aqua Shine no touch car wash,Waterbury,CT,,"Danbury, CT #1; Hartford, CT #1",ok,true,true,true,true,true,true,23,92,true,"READY"
Erwin Laser Wash,Painted Post,NY,,"Elmira-Corning, NY #1",ok,true,true,true,true,true,true,7,66,false,"READY"
Pit Stop Car Wash,Evansville,IN,,"Evansville, IN #1",ok,true,true,true,true,true,true,11,87,true,"READY"
Black Dog Car Wash,Londonderry,NH,,"Haverhill, MA #1",ok,true,true,true,true,true,true,49,88,true,"READY"
Kimo's Car Wash,Reedley,CA,Kimo's Car Wash,"Fresno, CA #1",ok,true,true,true,true,true,true,6,82,false,"READY"
West Chester Buggy Bath,West Chester,PA,,"Coatesville, PA #1",ok,true,true,true,true,true,true,65,76,true,"READY"
E&M's Family Car Wash,Hudson,NH,,"Fitchburg, MA #1",ok,true,true,true,true,true,true,6,88,false,"READY"
Executive Laser Wash,West Des Moines,IA,Executive Laser Wash,"Des Moines, IA #2",ok,true,true,true,true,false,true,32,88,false,"READY"
Monster Wash,Anchorage,AK,,"Anchorage, AK #1",ok,true,true,true,true,true,true,42,77,true,"READY"
New Wave Wash,Macungie,PA,,"Allentown, PA #2",ok,true,true,true,true,true,true,16,81,true,"READY"
Chardon Auto Spa,Chardon,OH,Super Suds Auto Spa,"Chardon, OH #2",ok,true,true,true,true,true,true,6,89,false,"READY"
Mr Suds Carwash,Columbia,SC,,"Columbia, SC #1",ok,true,true,true,true,true,true,11,92,false,"READY"
Lucky Ducky Car Wash | TOUCHLESS Car Wash | Brighton,Brighton,MI,,"Ann Arbor, MI #1",ok,true,true,true,true,true,true,13,92,true,"READY"
Applegrove Car Wash,North Canton,OH,,"Canton, OH #3",ok,true,true,true,true,true,true,8,87,false,"READY"
Hurricane Bay Carwash,Bardstown,KY,,"Bardstown, KY #1",ok,true,true,true,true,true,true,13,68,false,"READY"
AutoBrite Car Washes, Inc.,Henderson,NC,,"Henderson, NC #1",ok,true,true,true,true,true,true,3,80,false,"READY"
Super Wash,LeClaire,IA,Super Wash,"Clinton, IA #1",ok,true,false,true,true,true,true,2,58,false,"hours,snips(2),TSS:58"
Pony Express Car Wash,Ammon,ID,,"Idaho Falls, ID #1",ok,true,true,true,true,true,true,18,69,true,"READY"
Self Service Auto Wash,Jacksonville Beach,FL,,"Jacksonville, FL #2",ok,true,true,true,true,true,true,9,85,false,"READY"
Wave Car Care Center,Billings,MT,,"Billings, MT #1",ok,true,true,true,true,true,true,19,93,false,"READY"
Squeaky Clean South,Austin,TX,,"Austin, TX #1",ok,true,true,true,true,true,true,38,95,true,"READY"
Westlake Laser Wash,Cleveland,OH,,"Cleveland, OH #3",ok,true,true,true,true,true,true,25,91,true,"READY"
Fleet Farm Car Wash,Appleton,WI,,"Appleton-Oshkosh, WI #1",ok,true,true,true,true,true,true,7,85,false,"READY"
Car Wash,Superior,WI,,"Duluth, MN #1",ok,true,true,true,true,true,true,3,85,false,"READY"
