[08:53:47] ============================================================
[08:53:47] Mine-and-verify pass started
[08:53:47] ============================================================
[09:02:32]   ✓ TOUCHLESS: Soft touch Automatic — Cedar Hill, TX (3 snippets)
[09:02:32]   ✓ TOUCHLESS: Gibson City Car Wash — Gibson City, IL (1 snippets)
[09:02:32]   ✗ REJECTED:  Starlite Express Car Wash — Reno, NV
[09:02:32]   ✗ REJECTED:  Chevron ExtraMileRedwood City — Redwood City, CA
[09:02:32]   ✗ REJECTED:  Super Wash — Wilmington, IL
[09:02:32]   ✓ TOUCHLESS: Bluefield Laserwash — Bluefield, VA (1 snippets)
[09:02:32]   ✓ TOUCHLESS: Touchless Car Wash — York, PA (2 snippets)
[09:02:32]   ✓ TOUCHLESS: Touchless Car Wash — Glen Allen, VA (4 snippets)
[09:02:32]   ✓ TOUCHLESS: F5 Auto Wash Touchless Automatic — Madisonville, KY (2 snippets)
[09:02:32]   ✓ TOUCHLESS: SALEM II Touch FREE CAR WASH — Salem, OH (1 snippets)
[09:02:32]   ✓ TOUCHLESS: Magic Wand Laser Wash — Menominee, MI (1 snippets)
[09:02:32]   ✗ REJECTED:  Chevron⛽ — Burbank, CA
[09:02:32]   ✓ TOUCHLESS: Blue Falls Car Wash — Akron, OH (1 snippets)
[09:02:32]   ✗ REJECTED:  Swiftwater Car Wash #22 — San Antonio, TX
[09:02:32]   ✓ TOUCHLESS: Valley Suds Touchless & Self Serv Car Wash — Centuria, WI (2 snippets)
[09:02:32]   ✗ REJECTED:  Water Works Car Wash — Lutz, FL
[09:02:32] Batch 5: scanned=50 touchless=17 errors=0 (525s elapsed)
[09:04:29]   ✓ TOUCHLESS: Clean2o Touchfree Car Wash — Latham, NY (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Bath Wash Works — Bath, ME (4 snippets)
[09:04:29]   ✗ REJECTED:  Holiday Stationstores | Car Wash — Eagan, MN
[09:04:29]   ✓ TOUCHLESS: The Wash — Beaufort, NC (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Three Rivers Car Wash, LLC — Three Forks, MT (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Liberty Auto Spa — Jacksonville, NC (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Precision Wash — Central Square, NY (4 snippets)
[09:04:29]   ✗ REJECTED:  Delta Sonic Car Wash — Naperville, IL
[09:04:29]   ✓ TOUCHLESS: Prospect Square Touch Free Car Wash — Attica, NY (1 snippets)
[09:04:29]   ✗ REJECTED:  Laser Car Wash — Killeen, TX
[09:04:29]   ✓ TOUCHLESS: Splashville Car Wash - TOUCHLESS AUTO — Wheaton, IL (2 snippets)
[09:04:29]   ✓ TOUCHLESS: Quality Car Wash - Self-Serve and Touchless Car Wash — Cincinnati, OH (3 snippets)
[09:04:29]   ✓ TOUCHLESS: Brookville Laserwash — Brookville, IN (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Mr. Quick Car Wash — Uniontown, PA (1 snippets)
[09:04:29]   ✓ TOUCHLESS: America's Finest Car Wash — Fort Mill, SC (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Prenger's Laser Wash — Marceline, MO (2 snippets)
[09:04:29]   ✓ TOUCHLESS: Centerville Super Wash — Centerville, IN (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Bolt Express Car Wash - Powell — Powell, OH (6 snippets)
[09:04:29]   ✗ REJECTED:  Touch-Free Car Wash — Charlotte, NC
[09:04:29]   ✗ REJECTED:  Touch Free Automatic Car Wash — Garden City, MI
[09:04:29]   ✓ TOUCHLESS: Touchless Car Wash — Syracuse, NY (3 snippets)
[09:04:29]   ✓ TOUCHLESS: Laser Car Wash — North Bend, OR (1 snippets)
[09:04:29]   ✓ TOUCHLESS: Touchless Automatic — Watseka, IL (1 snippets)
[09:04:29]   ✗ REJECTED:  Chevron — Eastvale, CA
[09:04:29] Batch 6: scanned=50 touchless=18 errors=0 (642s elapsed)
[09:05:28]   ✓ TOUCHLESS: Mt Horeb Car Wash — Mt Horeb, WI (2 snippets)
[09:05:28]   ✓ TOUCHLESS: Hyper Express Car Wash | TOUCHLESS Car Wash | Smithville — Smithville, OH (2 snippets)
[09:05:28]   ✓ TOUCHLESS: Monkey Shine Car Wash — Longmont, CO (3 snippets)
[09:05:28]   ✓ TOUCHLESS: Holiday Stationstores | Car Wash — Burnsville, MN (1 snippets)
[09:05:28]   ✗ REJECTED:  Touchless Car Wash — East Haven, CT
[09:05:28]   ✗ REJECTED:  2 Touchless Automatics Broadway Carwash — Louisville, KY
[09:05:28]   ✓ TOUCHLESS: Touch Free Automatic Car Wash — Temecula, CA (1 snippets)
[09:05:28]   ✓ TOUCHLESS: Touchless Automatic — Idaho Falls, ID (2 snippets)
[09:05:28]   ✗ REJECTED:  Princeton Laserwash — Princeton, WV
[09:05:28]   ✗ REJECTED:  Touch Free Automatic Car Wash — Alanson, MI
[09:05:28]   ✓ TOUCHLESS: Mobil Touchless Car Wash — Auburn Hills, MI (1 snippets)
[09:05:28]   ✓ TOUCHLESS: The Lily Pad Touchless Car Wash — Canton, OH (1 snippets)
[09:05:28]   ✓ TOUCHLESS: Touchless Car Wash — Smyrna, TN (2 snippets)
[09:05:28]   ✗ REJECTED:  MarketWash — Savannah, GA
[09:05:28]   ✓ TOUCHLESS: Carroll Fuel Touch Free Car Wash — Baltimore, MD (1 snippets)
[09:05:28]   ✓ TOUCHLESS: Touchless Automatic Car Wash — Gifford, FL (1 snippets)
[09:05:28]   ✓ TOUCHLESS: Aisle 1 Car Wash — Sacramento, CA (6 snippets)
[09:05:28]   ✓ TOUCHLESS: Clean Works Car Wash - 156th — Urbandale, IA (1 snippets)
