rejectReason,name,reviews,address,types,place_id
known-tunnel-chain,Take 5 Car Wash,844,"1634 Bessemer Rd, Birmingham, AL 35208",Car wash,ChIJifQjR04fiYgR9wilNekjUmM
known-tunnel-chain,Champion Xpress Carwash,829,"2100 Central Ave SW, Albuquerque, NM 87104",Car wash,ChIJdWX19NQMIocRF9lJ7Qxzi_Q
known-tunnel-chain,Metro Express Car Wash,828,"1725 E Overland Rd, Meridian, ID 83642",Car wash,ChIJW_izwkRRrlQR54CMbh8B7vY
known-tunnel-chain,Champion Xpress Carwash,821,"5101 Lomas Blvd NE, Albuquerque, NM 87110",Car wash,ChIJrV82ByILIocRZQNFdULeTQI
known-tunnel-chain,Moo Moo Express Car Wash,816,"1927 W Henderson Rd, Columbus, OH 43220",Car wash,ChIJOVx-uYSNOIgRvwDp4wht51A
known-tunnel-chain,Mister Car Wash,790,"6237 N Mesa St, El Paso, TX 79912",Car wash,ChIJ78P9QN9X54YRmNdj0thO-EE
known-tunnel-chain,Zips Car Wash,782,"5615 Kingston Pike, Knoxville, TN 37919",Car wash,ChIJuX6IGUojXIgRSsANRfVrgqg
known-tunnel-chain,Whistle Express Car Wash,780,"2888 Mayfield Rd, Cleveland Heights, OH 44118",Car wash,ChIJufp5yDj8MIgRWbq-jNGmIC0
known-tunnel-chain,Mike's Carwash,767,"4605 Marburg Ave, Cincinnati, OH 45209",Car wash,ChIJVSHlFm-tQYgRtfbBOhFyxmI
non-carwash-business,Harbor Freight,759,"340 NE Beacon Dr, Grants Pass, OR 97526",Hardware store|Tool store,ChIJL9Kc3il6xVQRJF7ArbWabAI
known-tunnel-chain,Mike's Carwash,747,"1509 S Calhoun St, Fort Wayne, IN 46802",Car wash,ChIJ442d7_HkFYgRdSHHGi3rk7g
known-tunnel-chain,Mike's Carwash,745,"4020 E State Blvd, Fort Wayne, IN 46815",Car wash,ChIJmb1BXaD8FYgRdDAQL3tW9Rs
known-tunnel-chain,Quick Quack Car Wash,745,"1450 Brady Ln, Ripon, CA 95366",Car wash|Self service car wash,ChIJYSsfwaZFkIARu5BXXuIL044
known-tunnel-chain,Mister Car Wash,741,"2831 Gallatin Pike, Nashville, TN 37216",Car wash,ChIJmyXqKApoZIgRxMU9cTsWbD4
known-tunnel-chain,Mister Car Wash,730,"3516 N Zaragoza Rd, El Paso, TX 79938",Car wash,ChIJU0KouiBH54YRWVYztrpvVQ8
known-tunnel-chain,Silverstar Car Wash,725,"4410 W Crossroads Pl, Sioux Falls, SD 57106",Car wash|Car detailing service|Self service car wash,ChIJX2pkUZjLjocRehIKlsHDszk
known-tunnel-chain,Mike's Carwash,716,"507 Ohio Pike, Cincinnati, OH 45255",Car wash,ChIJaZRGKKSpQYgR4PHD4zt_Wrs
known-tunnel-chain,Mister Car Wash,712,"10685 W Layton Ave, Greenfield, WI 53228",Car wash,ChIJhcRVvVYOBYgRdqHuQZY6mXs
known-tunnel-chain,Mister Car Wash,710,"8950 Dyer St, El Paso, TX 79904",Car wash,ChIJO40UBk9R54YRRew9byR76s4
known-tunnel-chain,Quick Quack Car Wash,709,"1602 S Academy Blvd, Colorado Springs, CO 80916",Car wash|Self service car wash,ChIJ95fWywdFE4cRXAVkIG7U5VM
known-tunnel-chain,Rocket Carwash,682,"2511 S 140th St, Omaha, NE 68144",Car wash|Car detailing service,ChIJySuY_srzk4cRUHC9xisGR20
known-tunnel-chain,Mister Car Wash,680,"7820 Paseo del Norte, El Paso, TX 79912",Car wash,ChIJrTcvHbf53YYRMpatm-4lNHc
known-tunnel-chain,Clean Express Auto Wash,673,"2411 W Laskey Rd, Toledo, OH 43613",Car wash,ChIJ2WWHMCJ_PIgRx-c6wzsbr6I
known-tunnel-chain,Mister Car Wash,661,"1790 S Broadway Ave, Boise, ID 83706",Car wash,ChIJwbmuOkH4rlQR5gawyfiIGJc
known-tunnel-chain,WhiteWater Express Car Wash,659,"3125 Secor Rd, Toledo, OH 43606",Car wash,ChIJWeRgWTt_PIgRYgu0aNbXKNk
known-tunnel-chain,Silverstar Car Wash,651,"4401 E 57th St, Sioux Falls, SD 57108",Car wash|Car detailing service|Self service car wash,ChIJzVWkO7G3jocRWb8eVppG6pQ
known-tunnel-chain,Take 5 Car Wash,650,"4735 Fayetteville Rd, Raeford, NC 28376",Car wash,ChIJYX9m3Ek5q4kRxS_-Lhdoe4c
known-tunnel-chain,Metro Express Car Wash,639,"3673 N Eagle Rd, Meridian, ID 83646",Car wash,ChIJG4Bh9c5VrlQR71h_0pA64yM
non-carwash-business,Harbor Freight,636,"1714 Lincoln Way E, Chambersburg, PA 17202",Hardware store|Tool store,ChIJXXvF5_2eyYkRUTWvN38QWWQ
known-tunnel-chain,Moo Moo Express Car Wash,635,"5160 N High St, Columbus, OH 43214",Car wash,ChIJKZnBdfKMOIgRBLxiwYvpolw
